recommendation,id,training_id,end_date
9,a062o00001moe1LAAQ,a062o00001moe1LAAQ,2019-04-02
8,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
8,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
7,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
9,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
8,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
8,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
9,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
9,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
8,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
6,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
8,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
6,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
7,a062o00001moqrWAAQ,a062o00001moqrWAAQ,2019-05-29
7,a062o00001moqrWAAQ,a062o00001moqrWAAQ,2019-05-29
8,a062o00001moqrWAAQ,a062o00001moqrWAAQ,2019-05-29
7,a062o00001moqrWAAQ,a062o00001moqrWAAQ,2019-05-29
8,a062o00001mpehPAAQ,a062o00001mpehPAAQ,2019-06-04
8,a062o00001mpehZAAQ,a062o00001mpehZAAQ,2019-06-03
9,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
10,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
8,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
9,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
9,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
9,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
10,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
8,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
10,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
8,a065700001XTcONAA1,a065700001XTcONAA1,2018-03-27
8,a065700001XTcONAA1,a065700001XTcONAA1,2018-03-27
6,a065700001e39MbAAI,a065700001e39MbAAI,2018-06-11
9,a065700001e39MbAAI,a065700001e39MbAAI,2018-06-11
10,a065700001e39MbAAI,a065700001e39MbAAI,2018-06-11
8,a065700001e39MbAAI,a065700001e39MbAAI,2018-06-11
8,a065700001e39MgAAI,a065700001e39MgAAI,2018-06-25
8,a065700001e39MgAAI,a065700001e39MgAAI,2018-06-25
8,a065700001e39MgAAI,a065700001e39MgAAI,2018-06-25
10,a065700001e39MgAAI,a065700001e39MgAAI,2018-06-25
8,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
9,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
9,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
8,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
5,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
7,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
10,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
8,a065700001e39MqAAI,a065700001e39MqAAI,2018-09-17
9,a065700001e39MqAAI,a065700001e39MqAAI,2018-09-17
9,a065700001e39MvAAI,a065700001e39MvAAI,2018-10-01
8,a065700001e39MvAAI,a065700001e39MvAAI,2018-10-01
9,a065700001e39N0AAI,a065700001e39N0AAI,2018-10-29
7,a065700001e39N0AAI,a065700001e39N0AAI,2018-10-29
8,a065700001e39N0AAI,a065700001e39N0AAI,2018-10-29
9,a065700001e39N5AAI,a065700001e39N5AAI,2018-11-12
8,a065700001e39N5AAI,a065700001e39N5AAI,2018-11-12
9,a065700001e39NCAAY,a065700001e39NCAAY,2018-11-26
8,a065700001e39NFAAY,a065700001e39NFAAY,2018-12-10
7,a065700001e39NFAAY,a065700001e39NFAAY,2018-12-10
8,a065700001e39NKAAY,a065700001e39NKAAY,2019-01-07
9,a065700001e39NKAAY,a065700001e39NKAAY,2019-01-07
9,a065700001e39NKAAY,a065700001e39NKAAY,2019-01-07
9,a065700001e39NKAAY,a065700001e39NKAAY,2019-01-07
8,a065700001e39NPAAY,a065700001e39NPAAY,2019-01-21
9,a065700001e39NPAAY,a065700001e39NPAAY,2019-01-21
9,a065700001e39NPAAY,a065700001e39NPAAY,2019-01-21
7,a065700001e39NUAAY,a065700001e39NUAAY,2019-02-04
9,a065700001e39NUAAY,a065700001e39NUAAY,2019-02-04
9,a065700001e39NUAAY,a065700001e39NUAAY,2019-02-04
9,a065700001e39NUAAY,a065700001e39NUAAY,2019-02-04
10,a065700001e39NjAAI,a065700001e39NjAAI,2019-03-18
7,a065700001e3WBqAAM,a065700001e3WBqAAM,2018-09-26
8,a065700001e3WBqAAM,a065700001e3WBqAAM,2018-09-26
5,a065700001e3WBqAAM,a065700001e3WBqAAM,2018-09-26
7,a065700001iGgVKAA0,a065700001iGgVKAA0,2018-09-13
8,a065700001iGgVKAA0,a065700001iGgVKAA0,2018-09-13
8,a065700001iGgVKAA0,a065700001iGgVKAA0,2018-09-13
5,a065700001iGgVZAA0,a065700001iGgVZAA0,2018-09-20
8,a065700001iGgVZAA0,a065700001iGgVZAA0,2018-09-20
9,a065700001iGgVZAA0,a065700001iGgVZAA0,2018-09-20
3,a065700001iGgVoAAK,a065700001iGgVoAAK,2018-10-17
7,a065700001iGgVoAAK,a065700001iGgVoAAK,2018-10-17
8,a065700001iGgVoAAK,a065700001iGgVoAAK,2018-10-17
7,a065700001iGgVoAAK,a065700001iGgVoAAK,2018-10-17
8,a065700001iGgVyAAK,a065700001iGgVyAAK,2018-10-18
8,a065700001iGgVyAAK,a065700001iGgVyAAK,2018-10-18
8,a065700001iGgVyAAK,a065700001iGgVyAAK,2018-10-18
9,a065700001iGgVyAAK,a065700001iGgVyAAK,2018-10-18
8,a065700001iGgVyAAK,a065700001iGgVyAAK,2018-10-18
7,a065700001iGgVyAAK,a065700001iGgVyAAK,2018-10-18
10,a065700001iGgVyAAK,a065700001iGgVyAAK,2018-10-18
8,a065700001iGgVyAAK,a065700001iGgVyAAK,2018-10-18
7,a065700001iGgW3AAK,a065700001iGgW3AAK,2018-10-23
7,a065700001iGgW3AAK,a065700001iGgW3AAK,2018-10-23
8,a065700001iGgW3AAK,a065700001iGgW3AAK,2018-10-23
6,a065700001iGgW3AAK,a065700001iGgW3AAK,2018-10-23
9,a065700001iGgW3AAK,a065700001iGgW3AAK,2018-10-23
9,a065700001iGgW3AAK,a065700001iGgW3AAK,2018-10-23
6,a065700001iGgW3AAK,a065700001iGgW3AAK,2018-10-23
9,a065700001iGgWDAA0,a065700001iGgWDAA0,2018-10-23
10,a065700001iGkr2AAC,a065700001iGkr2AAC,2018-11-22
10,a065700001iGkr2AAC,a065700001iGkr2AAC,2018-11-22
9,a065700001iGkr2AAC,a065700001iGkr2AAC,2018-11-22
8,a065700001iGkr2AAC,a065700001iGkr2AAC,2018-11-22
10,a065700001iGlGCAA0,a065700001iGlGCAA0,2018-11-06
9,a065700001iGlGCAA0,a065700001iGlGCAA0,2018-11-06
9,a065700001iGlGCAA0,a065700001iGlGCAA0,2018-11-06
7,a065700001iGlGCAA0,a065700001iGlGCAA0,2018-11-06
7,a065700001iGlGMAA0,a065700001iGlGMAA0,2018-11-08
8,a065700001iGlGMAA0,a065700001iGlGMAA0,2018-11-08
8,a065700001iGlGMAA0,a065700001iGlGMAA0,2018-11-08
7,a065700001iGlGMAA0,a065700001iGlGMAA0,2018-11-08
8,a065700001iGlGMAA0,a065700001iGlGMAA0,2018-11-08
6,a065700001iGlGRAA0,a065700001iGlGRAA0,2018-11-21
8,a065700001iGlGRAA0,a065700001iGlGRAA0,2018-11-21
10,a065700001iGla2AAC,a065700001iGla2AAC,2018-11-26
9,a065700001iGla2AAC,a065700001iGla2AAC,2018-11-26
8,a065700001iGla2AAC,a065700001iGla2AAC,2018-11-26
9,a065700001iGla2AAC,a065700001iGla2AAC,2018-11-26
10,a065700001iGla2AAC,a065700001iGla2AAC,2018-11-26
9,a065700001k4LrsAAE,a065700001k4LrsAAE,2018-11-09
6,a065700001k4LrsAAE,a065700001k4LrsAAE,2018-11-09
8,a065700001k4LrsAAE,a065700001k4LrsAAE,2018-11-09
10,a065700001k4Mh3AAE,a065700001k4Mh3AAE,2018-12-04
8,a065700001k4Mh3AAE,a065700001k4Mh3AAE,2018-12-04
7,a065700001k4MhDAAU,a065700001k4MhDAAU,2018-12-11
8,a065700001k4MhDAAU,a065700001k4MhDAAU,2018-12-11
10,a065700001k4MhDAAU,a065700001k4MhDAAU,2018-12-11
8,a065700001k4NaIAAU,a065700001k4NaIAAU,2018-11-30
7,a065700001k4NaIAAU,a065700001k4NaIAAU,2018-11-30
7,a065700001k4NaIAAU,a065700001k4NaIAAU,2018-11-30
9,a065700001k4NaIAAU,a065700001k4NaIAAU,2018-11-30
8,a065700001k4NaNAAU,a065700001k4NaNAAU,2018-12-04
10,a065700001k4NaNAAU,a065700001k4NaNAAU,2018-12-04
8,a065700001k4NaNAAU,a065700001k4NaNAAU,2018-12-04
8,a065700001k4NaNAAU,a065700001k4NaNAAU,2018-12-04
8,a065700001k4OGQAA2,a065700001k4OGQAA2,2018-12-04
8,a065700001k4OGQAA2,a065700001k4OGQAA2,2018-12-04
8,a065700001lOpl1AAC,a065700001lOpl1AAC,2018-12-31
10,a065700001lOpl1AAC,a065700001lOpl1AAC,2018-12-31
8,a065700001lP19QAAS,a065700001lP19QAAS,2019-02-05
10,a065700001lP19QAAS,a065700001lP19QAAS,2019-02-05
6,a065700001lP19QAAS,a065700001lP19QAAS,2019-02-05
8,a065700001lP19QAAS,a065700001lP19QAAS,2019-02-05
7,a065700001lP19QAAS,a065700001lP19QAAS,2019-02-05
8,a065700001lP19QAAS,a065700001lP19QAAS,2019-02-05
7,a065700001lP19VAAS,a065700001lP19VAAS,2019-04-02
8,a065700001lP19VAAS,a065700001lP19VAAS,2019-04-02
8,a065700001lP19VAAS,a065700001lP19VAAS,2019-04-02
8,a065700001lP19VAAS,a065700001lP19VAAS,2019-04-02
8,a065700001lP19VAAS,a065700001lP19VAAS,2019-04-02
6,a065700001lP19VAAS,a065700001lP19VAAS,2019-04-02
8,a065700001lP19VAAS,a065700001lP19VAAS,2019-04-02
9,a065700001lP19VAAS,a065700001lP19VAAS,2019-04-02
6,a065700001lP19aAAC,a065700001lP19aAAC,2019-02-19
8,a065700001lP19aAAC,a065700001lP19aAAC,2019-02-19
7,a065700001lP19aAAC,a065700001lP19aAAC,2019-02-19
10,a065700001lP19fAAC,a065700001lP19fAAC,2019-05-21
8,a065700001lP19fAAC,a065700001lP19fAAC,2019-05-21
7,a065700001lP19fAAC,a065700001lP19fAAC,2019-05-21
7,a065700001lP19fAAC,a065700001lP19fAAC,2019-05-21
8,a065700001lP19kAAC,a065700001lP19kAAC,2019-02-22
5,a065700001lP19kAAC,a065700001lP19kAAC,2019-02-22
4,a065700001lP19kAAC,a065700001lP19kAAC,2019-02-22
6,a065700001lP19kAAC,a065700001lP19kAAC,2019-02-22
6,a065700001lP19kAAC,a065700001lP19kAAC,2019-02-22
7,a065700001lP19kAAC,a065700001lP19kAAC,2019-02-22
9,a065700001lP19pAAC,a065700001lP19pAAC,2019-04-18
8,a065700001lP19pAAC,a065700001lP19pAAC,2019-04-18
8,a065700001lP19pAAC,a065700001lP19pAAC,2019-04-18
9,a065700001lP19uAAC,a065700001lP19uAAC,2019-02-26
8,a065700001lP19uAAC,a065700001lP19uAAC,2019-02-26
8,a065700001lP19uAAC,a065700001lP19uAAC,2019-02-26
8,a065700001lP19uAAC,a065700001lP19uAAC,2019-02-26
10,a065700001lP19uAAC,a065700001lP19uAAC,2019-02-26
8,a065700001lP19uAAC,a065700001lP19uAAC,2019-02-26
8,a065700001lP19uAAC,a065700001lP19uAAC,2019-02-26
8,a065700001lP19uAAC,a065700001lP19uAAC,2019-02-26
8,a065700001lP1A4AAK,a065700001lP1A4AAK,2019-02-28
1,a065700001QnxBqAAJ,a065700001QnxBqAAJ,2018-10-26
9,a065700001MHaNgAAL,a065700001MHaNgAAL,2018-02-01
1,a065700001QnxBqAAJ,a065700001QnxBqAAJ,2018-10-26
8,a065700001k4NkyAAE,a065700001k4NkyAAE,2019-09-27
9,a062o00001monfrAAA,a062o00001monfrAAA,2019-09-24
8,a062o00001monfrAAA,a062o00001monfrAAA,2019-09-24
7,a062o00001mpQGVAA2,a062o00001mpQGVAA2,2019-06-26
8,a062o00001ogf4NAAQ,a062o00001ogf4NAAQ,2019-10-16
7,a062o00001p5bYYAAY,a062o00001p5bYYAAY,2019-10-22
8,a062o00001p5bYYAAY,a062o00001p5bYYAAY,2019-10-22
7,a062o00001p6WjvAAE,a062o00001p6WjvAAE,2019-10-16
8,a062o00001p72qMAAQ,a062o00001p72qMAAQ,2019-11-04
9,a065700001QnuStAAJ,a065700001QnuStAAJ,2018-09-25
7,a065700001QnxBqAAJ,a065700001QnxBqAAJ,2018-10-26
9,a065700001QnxCKAAZ,a065700001QnxCKAAZ,2018-12-13
8,a065700001QnxCKAAZ,a065700001QnxCKAAZ,2018-12-13
8,a065700001k4NkjAAE,a065700001k4NkjAAE,2019-04-12
7,a065700001k4NkyAAE,a065700001k4NkyAAE,2019-09-27
8,a065700001k4NmpAAE,a065700001k4NmpAAE,2019-02-13
9,a065700001k4NmpAAE,a065700001k4NmpAAE,2019-02-13
7,a065700001lOoHmAAK,a065700001lOoHmAAK,2019-03-15
8,a062o00001monfrAAA,a062o00001monfrAAA,2019-09-24
